OX243811.1_t_gene2_mRNA2	OX243811.1_129639-139352
OX243811.1_t_gene907_mRNA1213	OX243811.1_49615530-49622258
OX243811.1_t_gene910_mRNA1217	OX243811.1_49731751-49736814
OX243811.1_t_gene912_mRNA1219	OX243811.1_49818398-49823493
OX243811.1_t_gene914_mRNA1221	OX243811.1_49908999-49914818
OX243811.1_t_gene919_mRNA1226	OX243811.1_50085425-50090209
OX243811.1_t_gene924_mRNA1232	OX243811.1_50208745-50213436
OX243811.1_t_gene926_mRNA1234	OX243811.1_50240312-50257020
OX243811.1_t_gene930_mRNA1238	OX243811.1_50451984-50459002
OX243811.1_t_gene933_mRNA1241	OX243811.1_50490772-50491481
OX243811.1_t_gene935_mRNA1243	OX243811.1_50689175-50695493
OX243811.1_t_gene936_mRNA1244	OX243811.1_50717976-50722565
OX243811.1_t_gene937_mRNA1245	OX243811.1_50737807-50745966
OX243811.1_t_gene939_mRNA1248	OX243811.1_50804341-50809878
OX243811.1_t_gene942_mRNA1251	OX243811.1_50907673-50915955
OX243811.1_t_gene943_mRNA1252	OX243811.1_50916628-50923485
OX243811.1_t_gene944_mRNA1253	OX243811.1_50942752-50948157
OX243811.1_t_gene945_mRNA1254	OX243811.1_51005992-51011577
OX243811.1_t_gene948_mRNA1258	OX243811.1_51092793-51097430
OX243811.1_t_gene949_mRNA1259	OX243811.1_51120228-51125333
OX243811.1_t_gene951_mRNA1261	OX243811.1_51206006-51211457
OX243811.1_t_gene953_mRNA1263	OX243811.1_51422732-51429493
OX243811.1_t_gene954_mRNA1264	OX243811.1_51451610-51459234
OX243811.1_t_gene955_mRNA1265	OX243811.1_51495174-51503152
OX243811.1_t_gene957_mRNA1267	OX243811.1_51522503-51528705
OX243811.1_t_gene958_mRNA1268	OX243811.1_51570031-51578373
OX243811.1_t_gene959_mRNA1270	OX243811.1_51579076-51600001
OX243811.1_t_gene960_mRNA1271	OX243811.1_51607978-51612582
OX243811.1_t_gene961_mRNA1272	OX243811.1_51632386-51639618
OX243811.1_t_gene962_mRNA1274	OX243811.1_51658284-51664347
OX243811.1_t_gene963_mRNA1275	OX243811.1_51683215-51701526
OX243811.1_t_gene964_mRNA1276	OX243811.1_51704960-51710662
OX243811.1_t_gene966_mRNA1278	OX243811.1_51776470-51795551
OX243811.1_t_gene973_mRNA1291	OX243811.1_51986715-51991602
OX243811.1_t_gene974_mRNA1296	OX243811.1_52040939-52046431
OX243811.1_t_gene976_mRNA1298	OX243811.1_52141807-52148379
OX243811.1_t_gene979_mRNA1301	OX243811.1_52175117-52179982
OX243811.1_t_gene980_mRNA1302	OX243811.1_52207943-52215580
OX243811.1_t_gene981_mRNA1303	OX243811.1_52273923-52284662
OX243811.1_t_gene982_mRNA1306	OX243811.1_52369447-52374552
OX243811.1_t_gene983_mRNA1312	OX243811.1_52499154-52505082
OX243811.1_t_gene984_mRNA1313	OX243811.1_52652114-52656880
OX243811.1_t_gene986_mRNA1316	OX243811.1_52805219-52817416
OX243811.1_t_gene990_mRNA1320	OX243811.1_52931091-52950760
OX243811.1_t_gene998_mRNA1329	OX243811.1_53405438-53411575
OX243811.1_t_gene999_mRNA1330	OX243811.1_53709877-53717131
OX243811.1_t_gene1001_mRNA1333	OX243811.1_53805457-53812291
OX243811.1_t_gene1002_mRNA1334	OX243811.1_54009325-54015387
OX243811.1_t_gene1003_mRNA1335	OX243811.1_54079702-54088919
OX243811.1_t_gene1005_mRNA1337	OX243811.1_54111355-54117173
OX243811.1_t_gene1007_mRNA1339	OX243811.1_54217687-54227850
OX243811.1_t_gene1009_mRNA1341	OX243811.1_54295506-54300925
OX243811.1_t_gene1010_mRNA1342	OX243811.1_54408185-54417188
OX243811.1_t_gene1012_mRNA1344	OX243811.1_54526171-54533168
OX243811.1_t_gene1014_mRNA1346	OX243811.1_54615265-54626760
OX243811.1_t_gene1015_mRNA1347	OX243811.1_54680409-54692244
OX243811.1_t_gene1019_mRNA1351	OX243811.1_54920384-54933285
OX243811.1_t_gene1020_mRNA1352	OX243811.1_55016418-55023890
OX243811.1_t_gene1021_mRNA1353	OX243811.1_55130578-55137027
OX243811.1_t_gene1022_mRNA1354	OX243811.1_55689174-55692439
OX243811.1_t_gene1023_mRNA1355	OX243811.1_55692440-55699557
OX243811.1_t_gene1025_mRNA1358	OX243811.1_55703290-55710307
OX243811.1_t_gene1027_mRNA1360	OX243811.1_55846869-55853069
OX243811.1_t_gene1031_mRNA1364	OX243811.1_56220850-56226401
OX243811.1_t_gene1032_mRNA1365	OX243811.1_56276023-56281460
OX243811.1_t_gene1034_mRNA1367	OX243811.1_56376870-56387892
OX243811.1_t_gene1035_mRNA1368	OX243811.1_56394279-56398288
OX243811.1_t_gene1038_mRNA1371	OX243811.1_56440737-56446516
OX243811.1_t_gene1040_mRNA1373	OX243811.1_56494989-56509890
OX243811.1_t_gene1042_mRNA1375	OX243811.1_56560633-56565392
OX243811.1_t_gene1043_mRNA1377	OX243811.1_56629849-56639704
OX243811.1_t_gene1048_mRNA1383	OX243811.1_56770529-56782905
OX243811.1_t_gene1050_mRNA1385	OX243811.1_56877376-56883108
OX243811.1_t_gene1053_mRNA1388	OX243811.1_57151432-57156958
OX243811.1_t_gene1055_mRNA1390	OX243811.1_57178527-57182085
OX243811.1_t_gene1057_mRNA1392	OX243811.1_57281311-57286652
OX243811.1_t_gene1058_mRNA1393	OX243811.1_57300518-57309327
OX243811.1_t_gene1060_mRNA1395	OX243811.1_57376790-57386086
OX243811.1_t_gene1064_mRNA1399	OX243811.1_57676443-57680312
OX243811.1_t_gene1067_mRNA1403	OX243811.1_57791627-57801798
OX243811.1_t_gene1068_mRNA1404	OX243811.1_57809115-57816788
OX243811.1_t_gene1070_mRNA1406	OX243811.1_57993373-57996696
OX243811.1_t_gene1071_mRNA1408	OX243811.1_57996697-57998987
OX243811.1_t_gene1074_mRNA1411	OX243811.1_58149121-58154639
OX243811.1_t_gene1075_mRNA1416	OX243811.1_58169899-58175110
OX243811.1_t_gene1077_mRNA1418	OX243811.1_58183001-58187883
OX243811.1_t_gene1078_mRNA1422	OX243811.1_58310806-58316496
OX243811.1_t_gene1080_mRNA1424	OX243811.1_58390831-58397241
OX243811.1_t_gene1081_mRNA1425	OX243811.1_58548496-58553361
OX243811.1_t_gene1082_mRNA1426	OX243811.1_58559435-58562853
OX243811.1_t_gene1083_mRNA1427	OX243811.1_58562854-58566902
OX243811.1_t_gene1085_mRNA1434	OX243811.1_58860016-58865850
OX243811.1_t_gene1088_mRNA1442	OX243811.1_58977549-58979560
OX243811.1_t_gene1097_mRNA1455	OX243811.1_59971734-59978010
OX243811.1_t_gene1098_mRNA1456	OX243811.1_59996946-60003526
OX243811.1_t_gene1101_mRNA1461	OX243811.1_60042691-60049688
OX243811.1_t_gene1103_mRNA1467	OX243811.1_60164754-60173487
OX243811.1_t_gene1106_mRNA1478	OX243811.1_60745073-60748459
OX243811.1_t_gene1109_mRNA1481	OX243811.1_60881139-60889481
OX243811.1_t_gene1114_mRNA1491	OX243811.1_61464253-61469447
OX243811.1_t_gene1115_mRNA1497	OX243811.1_61824156-61833407
OX243811.1_t_gene1117_mRNA1500	OX243811.1_61954441-61959465
OX243811.1_t_gene1118_mRNA1501	OX243811.1_62104775-62109854
OX243811.1_t_gene1122_mRNA1509	OX243811.1_62499390-62506181
OX243811.1_t_gene1123_mRNA1511	OX243811.1_62896577-62904382
OX243811.1_t_gene1126_mRNA1514	OX243811.1_63277402-63288281
OX243811.1_t_gene1128_mRNA1520	OX243811.1_63577678-63586890
OX243811.1_t_gene1134_mRNA1527	OX243811.1_64198057-64205862
OX243811.1_t_gene1136_mRNA1529	OX243811.1_64318448-64327585
OX243811.1_t_gene1137_mRNA1535	OX243811.1_64426328-64436293
OX243811.1_t_gene1139_mRNA1541	OX243811.1_64503453-64513364
OX243811.1_t_gene1140_mRNA1543	OX243811.1_64848370-64853403
OX243811.1_t_gene1145_mRNA1549	OX243811.1_65354287-65362347
OX243811.1_t_gene1148_mRNA1552	OX243811.1_65481605-65489947
OX243811.1_t_gene1151_mRNA1556	OX243811.1_65579256-65581308
OX243811.1_t_gene1152_mRNA1557	OX243811.1_65581309-65582545
OX243811.1_t_gene1154_mRNA1559	OX243811.1_65586197-65591295
OX243811.1_t_gene1156_mRNA1564	OX243811.1_65699004-65705237
OX243811.1_t_gene1157_mRNA1568	OX243811.1_65733426-65743334
OX243811.1_t_gene1158_mRNA1573	OX243811.1_65833626-65838680
OX243811.1_t_gene1161_mRNA1576	OX243811.1_66284117-66292096
OX243811.1_t_gene1162_mRNA1577	OX243811.1_66625887-66632687
OX243811.1_t_gene1163_mRNA1579	OX243811.1_66636500-66646432
OX243811.1_t_gene1164_mRNA1582	OX243811.1_66655988-66660150
OX243811.1_t_gene1165_mRNA1583	OX243811.1_66660151-66664438
OX243811.1_t_gene1168_mRNA1589	OX243811.1_66977466-66978756
OX243811.1_t_gene1169_mRNA1590	OX243811.1_66978757-66982859
OX243811.1_t_gene1171_mRNA1593	OX243811.1_67323136-67326472
OX243811.1_t_gene1172_mRNA1594	OX243811.1_67326473-67328078
OX243811.1_t_gene1174_mRNA1596	OX243811.1_67353508-67362120
OX243811.1_t_gene1178_mRNA1613	OX243811.1_68321630-68327893
